Date,KOSPI,KOSPI200,KOSPI4,KOSDAQ,VKOSPI
2022-02-28,2699.18 ,361.54 ,2486.33 ,881.07 ,24.41 
2022-03-02,2703.52 ,360.59 ,2519.64 ,895.45 ,24.89 
2022-03-03,2747.08 ,367.06 ,2543.64 ,912.32 ,22.73 
2022-03-04,2713.43 ,361.69 ,2544.88 ,900.96 ,24.57 
2022-03-07,2651.31 ,353.03 ,2510.17 ,881.54 ,27.84 
2022-03-08,2622.40 ,349.38 ,2461.07 ,870.14 ,28.95 
2022-03-10,2680.32 ,358.01 ,2481.42 ,889.08 ,25.71 
2022-03-11,2661.28 ,355.31 ,2511.84 ,891.71 ,24.41 
2022-03-14,2645.65 ,354.61 ,2492.41 ,872.44 ,24.70 
2022-03-15,2621.53 ,351.03 ,2475.46 ,871.22 ,25.77 
2022-03-16,2659.23 ,356.09 ,2512.73 ,891.80 ,23.74 
2022-03-17,2694.51 ,361.46 ,2531.10 ,914.13 ,22.55 
2022-03-18,2707.02 ,362.33 ,2545.14 ,922.96 ,21.93 
2022-03-21,2686.05 ,358.77 ,2554.12 ,918.40 ,22.40 
2022-03-22,2710.00 ,361.66 ,2573.06 ,924.67 ,21.03 
2022-03-23,2735.05 ,364.84 ,2596.96 ,930.57 ,19.61 
2022-03-24,2729.66 ,363.38 ,2611.96 ,931.75 ,19.73 
2022-03-25,2729.98 ,362.06 ,2603.51 ,934.69 ,19.62 
2022-03-28,2729.56 ,362.06 ,2607.03 ,927.11 ,19.60 
2022-03-29,2741.07 ,363.77 ,2602.83 ,937.83 ,18.75 
2022-03-30,2746.74 ,364.50 ,2599.06 ,939.07 ,17.88 
2022-03-31,2757.65 ,365.61 ,2618.50 ,944.53 ,17.14 
2022-04-01,2739.85 ,363.19 ,2626.00 ,940.57 ,17.07 
2022-04-04,2757.90 ,364.94 ,2659.46 ,947.32 ,16.49 
2022-04-05,2759.20 ,364.74 ,2663.98 ,952.47 ,15.91 
2022-04-06,2735.03 ,361.01 ,2654.77 ,943.13 ,16.79 
