Date,KOSPI 전체 PER,KOSPI 전체 PBR,대형주 PER,대형주 PBR,중형주 PER,중형주 PBR,소형주 PER,소형주 PBR
2025-06-16,13.47,0.99,12.78,1.1,19.11,0.7,16.87,0.52
2025-06-17,13.48,0.99,12.8,1.1,19.07,0.7,16.76,0.52
2025-06-18,13.58,1.0,12.9,1.11,19.13,0.7,16.77,0.52
2025-06-19,13.61,1.0,12.91,1.11,19.34,0.71,16.87,0.52
2025-06-20,13.81,1.02,13.12,1.13,19.46,0.72,16.88,0.52
2025-06-23,13.78,1.01,13.09,1.13,19.37,0.71,16.86,0.52
2025-06-24,14.19,1.04,13.5,1.16,19.8,0.73,17.09,0.53
2025-06-25,14.21,1.05,13.52,1.16,19.89,0.73,17.08,0.53
2025-06-26,14.08,1.04,13.4,1.15,19.71,0.73,16.88,0.52
2025-06-27,13.97,1.03,13.3,1.14,19.56,0.72,16.77,0.52
2025-06-30,14.04,1.03,13.36,1.15,19.7,0.73,16.89,0.52
2025-07-01,14.12,1.04,13.4,1.15,20.09,0.74,17.22,0.53
2025-07-02,14.06,1.03,13.34,1.15,19.98,0.74,17.2,0.53
2025-07-03,14.25,1.05,13.54,1.17,20.12,0.74,17.3,0.53
2025-07-04,13.96,1.03,13.28,1.14,19.61,0.72,17.03,0.52
2025-07-07,13.98,1.03,13.29,1.14,19.73,0.73,17.06,0.53
2025-07-08,14.24,1.05,13.53,1.16,20.11,0.74,17.34,0.53
2025-07-09,14.33,1.05,13.57,1.17,20.57,0.76,17.74,0.55
2025-07-10,14.56,1.07,13.8,1.19,20.91,0.77,17.95,0.55
2025-07-11,14.53,1.07,13.76,1.18,20.9,0.77,17.99,0.55
2025-07-14,14.64,1.08,13.87,1.19,21.11,0.77,18.13,0.56
2025-07-15,14.71,1.08,13.93,1.2,21.18,0.78,18.08,0.56
2025-07-16,14.57,1.07,13.82,1.19,20.91,0.77,17.92,0.55
2025-07-17,14.6,1.07,13.85,1.19,20.92,0.77,17.87,0.55
2025-07-18,14.58,1.07,13.84,1.19,20.88,0.77,17.68,0.54
2025-07-21,14.69,1.08,13.95,1.2,20.93,0.77,17.63,0.54
2025-07-22,14.5,1.07,13.76,1.18,20.84,0.76,17.49,0.54
2025-07-23,14.56,1.07,13.82,1.19,20.92,0.77,17.46,0.54
2025-07-24,14.59,1.07,13.88,1.19,20.84,0.76,17.23,0.53
2025-07-25,14.62,1.07,13.91,1.2,20.81,0.76,17.2,0.53
2025-07-28,14.68,1.08,14.01,1.21,20.56,0.75,16.89,0.52
2025-07-29,14.78,1.09,14.1,1.21,20.83,0.76,16.94,0.52
2025-07-30,14.89,1.09,14.22,1.22,20.83,0.76,16.95,0.52
2025-07-31,14.84,1.09,14.18,1.22,20.75,0.76,16.97,0.52
2025-08-01,14.27,1.05,13.63,1.17,19.87,0.73,16.39,0.5
2025-08-04,14.4,1.06,13.75,1.18,20.13,0.74,16.61,0.51
2025-08-05,14.63,1.08,13.97,1.2,20.44,0.75,16.76,0.52
2025-08-06,14.63,1.08,13.94,1.2,20.71,0.76,16.93,0.52
2025-08-07,14.77,1.09,14.08,1.21,20.76,0.76,16.95,0.52
2025-08-08,14.69,1.08,13.99,1.2,20.76,0.76,16.94,0.52
2025-08-11,14.67,1.08,14.0,1.2,20.61,0.76,16.89,0.52
2025-08-12,14.59,1.07,13.93,1.2,20.4,0.75,16.84,0.52
2025-08-13,14.75,1.09,14.12,1.21,20.38,0.75,16.8,0.52
